,ï»¿id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,8142.0,20200000000000.0,21994,73,13,14,37.76555,-122.45213,1,4.0,1.0,1.0,56.0,32,90,32.0,32.0,90.0,90.0,32.0,90.0,30,60,90,365,9,1,0,4.67,4.44,4.44,4.78,4.78,4.67,4.67,13,0,13,0,0.09
8,491867.0,20200000000000.0,969518,61,2,3,37.77196,-122.43477,5,2.0,3.0,3.0,425.0,2,31,2.0,2.0,31.0,31.0,2.0,31.0,0,2,7,7,56,14,1,4.85,4.86,4.86,4.98,4.91,4.91,4.75,1,1,0,0,0.44
9,144242.0,20200000000000.0,699215,84,2,2,37.78546,-122.46148,6,2.0,3.0,3.0,545.0,3,60,3.0,3.0,60.0,60.0,3.0,60.0,6,6,6,64,22,0,0,4.86,4.95,4.89,5.0,5.0,4.89,4.95,1,1,0,0,0.15
13,12041.0,20200000000000.0,21994,73,13,14,37.76901,-122.44701,2,3.0,1.0,2.0,65.0,32,120,32.0,32.0,120.0,120.0,32.0,120.0,30,60,90,365,7,1,0,4.0,4.14,4.0,4.43,4.86,4.57,3.71,13,0,13,0,0.05
17,12042.0,20200000000000.0,21994,73,13,14,37.76932,-122.44723,2,3.0,1.0,2.0,65.0,32,120,32.0,32.0,120.0,120.0,32.0,120.0,30,60,90,365,5,0,0,3.2,3.0,3.0,4.8,4.4,4.6,3.8,13,0,13,0,0.04
19,503362.0,20200000000000.0,2475480,80,5,5,37.77265,-122.43857,6,2.0,2.0,2.0,350.0,30,1124,30.0,30.0,1124.0,1124.0,30.0,1124.0,0,0,0,64,116,1,0,4.93,4.95,4.94,4.9,4.95,4.79,4.72,5,5,0,0,0.89
21,505530.0,20200000000000.0,698337,94,2,6,37.74154,-122.4086,6,2.0,4.0,6.0,240.0,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,18,18,23,142,13,3,0,4.69,4.77,4.38,5.0,5.0,4.54,4.77,2,2,0,0,0.11
22,511991.0,20200000000000.0,723220,0,1,17,37.79138,-122.39761,4,2.0,2.0,3.0,390.0,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,28,58,87,300,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,0,0.01
43,209514.0,20200000000000.0,1032643,100,5,6,37.77255,-122.44985,2,2.0,1.0,1.0,69.0,1,5,1.0,1.0,5.0,5.0,1.0,5.0,25,55,85,358,585,43,2,4.7,4.85,4.73,4.89,4.85,4.84,4.68,5,0,5,0,4.18
44,212783.0,20200000000000.0,1032643,100,5,6,37.77085,-122.44814,4,2.0,1.0,2.0,69.0,1,5,1.0,1.0,5.0,5.0,1.0,5.0,21,48,73,345,562,52,2,4.6,4.78,4.66,4.86,4.8,4.81,4.58,5,0,5,0,4.02
45,213532.0,20200000000000.0,1032643,100,5,6,37.77175,-122.45012,2,2.0,1.0,1.0,69.0,1,15,1.0,1.0,15.0,15.0,1.0,15.0,19,38,68,340,644,69,2,4.53,4.69,4.59,4.86,4.79,4.79,4.51,5,0,5,0,4.61
47,531151.0,20200000000000.0,2608908,100,1,2,37.73466,-122.41694,8,2.0,4.0,6.0,423.0,3,21,3.0,4.0,21.0,21.0,3.0,21.0,2,7,7,29,24,4,0,4.92,4.88,4.83,5.0,4.92,4.58,4.75,1,1,0,0,0.23
