,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,1215790.0,20230300000000.0,3149645,0,1.0,1.0,41.84984,3.1265,7,2.0,3.0,5.0,60.0,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,0,28,28,56,10,0,0,4.11,4.56,4.78,4.89,5.0,4.56,4.11,1,1,0,0,0.08
9,1222762.0,20230300000000.0,6404885,57,1.0,1.0,42.21904,2.90744,5,2.0,3.0,4.0,65.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,28,58,88,363,8,4,0,4.57,4.75,4.38,4.88,5.0,4.63,4.63,1,1,0,0,0.07
11,48764.0,20230300000000.0,220145,80,1.0,2.0,42.17605,3.03974,8,2.0,4.0,5.0,120.0,7,120,7.0,7.0,90.0,120.0,7.0,110.5,0,0,1,28,34,3,0,4.84,4.88,4.88,4.97,4.97,4.7,4.82,1,1,0,0,0.24
14,1228453.0,20230300000000.0,6623729,91,1.0,1.0,42.24287,3.20562,5,2.0,2.0,4.0,114.0,4,1125,4.0,14.0,1125.0,1125.0,6.3,1125.0,24,50,64,213,28,6,0,4.96,4.89,4.79,5.0,4.96,4.93,4.71,1,1,0,0,0.47
15,93343.0,20230300000000.0,477826,12,4.0,6.0,42.10405,3.14936,7,2.0,3.0,5.0,173.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,26,56,84,84,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,3,3,0,0,0.5232000277238703
18,101580.0,20230300000000.0,532063,100,1.0,1.0,41.70656,2.89015,16,4.0,4.0,12.0,850.0,5,30,2.0,5.0,31.0,1125.0,3.9,428.4,24,50,74,196,22,1,0,4.82,4.82,4.73,5.0,4.95,4.64,4.73,1,1,0,0,0.31
21,106704.0,20230300000000.0,553059,65,5.0,10.0,41.83631,2.937,12,4.0,4.0,12.0,231.0,2,365,2.0,7.0,365.0,365.0,2.8,365.0,23,49,69,314,25,6,0,4.56,4.52,4.6,4.8,4.8,4.4,4.36,5,5,0,0,0.18
22,1234785.0,20230300000000.0,6732502,100,2.0,2.0,41.95188,3.20297,6,2.0,3.0,4.0,335.0,6,28,6.0,6.0,28.0,28.0,6.0,28.0,0,0,0,10,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,1,1,0,0.1
23,766763.0,20230300000000.0,4043268,64,2.0,2.0,41.96041,3.22659,12,3.0,5.0,12.0,399.0,5,30,5.0,5.0,30.0,30.0,5.0,30.0,19,35,38,217,21,6,0,4.95,5.0,4.4,4.86,4.9,5.0,4.76,2,2,0,0,0.25
25,771850.0,20230300000000.0,4072871,0,1.0,3.0,41.79449,3.05269,6,3.0,3.0,3.0,350.0,30,1000,30.0,30.0,1000.0,1000.0,30.0,1000.0,0,0,0,0,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.5232000277238703
26,774371.0,20230300000000.0,4085536,98,2.0,2.0,41.84428,3.10006,5,2.0,2.0,4.0,60.0,6,1125,6.0,6.0,1125.0,1125.0,6.0,1125.0,0,11,23,134,26,11,0,4.92,4.96,4.65,4.96,5.0,5.0,4.92,2,1,1,0,0.34
29,121962.0,20230300000000.0,553059,65,5.0,10.0,41.84104,2.94811,16,6.0,6.0,11.0,506.0,2,1125,2.0,7.0,1125.0,1125.0,2.7,1125.0,25,47,65,336,26,3,0,4.68,4.64,4.72,4.88,4.8,4.8,4.56,5,5,0,0,0.21
30,784892.0,20230300000000.0,4073860,0,1.0,5.0,42.39611,1.91888,6,3.0,3.0,7.0,100.0,60,60,60.0,60.0,60.0,60.0,60.0,60.0,23,53,83,358,1,0,0,0.0,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.01
34,122371.0,20230300000000.0,613396,50,1.0,1.0,41.97452,3.1756,6,2.0,3.0,5.0,247.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,9,39,55,159,0,0,0,4.554225810923205,4.644537230340988,4.54728778179794,4.701278268735647,4.713506610995129,4.722809825342705,4.4473187195546275,1,1,0,0,0.5232000277238703
37,130159.0,20230300000000.0,632158,100,1.0,4.0,41.6657,2.78242,5,3.0,2.0,3.0,92.0,6,28,6.0,6.0,28.0,28.0,6.0,28.0,28,58,88,311,27,2,0,4.91,5.0,5.0,5.0,5.0,4.84,4.88,1,1,0,0,0.19
39,131374.0,20230300000000.0,646551,100,2.0,3.0,41.82069,2.71764,8,3.0,4.0,5.0,306.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,27,54,75,321,10,3,0,4.4,4.7,4.4,5.0,4.9,4.5,4.4,2,2,0,0,0.1
40,1250062.0,20230300000000.0,6811852,100,1.0,1.0,41.82205,3.06874,8,2.0,4.0,6.0,303.0,2,1125,2.0,7.0,1125.0,1125.0,2.1,1125.0,27,49,78,313,3,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.15
41,154339.0,20230300000000.0,2552,0,2.0,9.0,41.7403,2.81844,6,2.0,3.0,3.0,127.0,5,730,5.0,5.0,730.0,730.0,5.0,730.0,30,60,90,365,4,0,0,5.0,4.67,4.67,4.67,4.33,4.67,4.67,1,1,0,0,0.03
42,809104.0,20230300000000.0,4208003,92,35.0,72.0,42.10369,3.0823,6,2.0,3.0,5.0,146.0,1,365,1.0,7.0,365.0,365.0,5.5,365.0,20,50,51,94,6,1,0,4.6,5.0,4.67,5.0,5.0,4.67,4.67,34,34,0,0,0.05
44,168832.0,20230300000000.0,804674,100,1.0,2.0,42.12516,2.93539,6,3.0,5.0,8.0,50.0,14,31,14.0,14.0,31.0,1125.0,14.0,1022.4,0,0,0,47,15,1,0,4.6,4.73,4.73,4.73,5.0,4.67,4.53,1,1,0,0,0.13
47,179220.0,20230300000000.0,823626,0,8.0,19.0,41.84794,3.10483,6,2.0,3.0,6.0,74.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,0,0,0,0,16,0,0,4.53,4.53,4.6,4.6,4.73,5.0,4.47,7,7,0,0,0.11
50,1257692.0,20230300000000.0,2389641,100,1.0,1.0,42.04805,3.10867,8,2.0,3.0,4.0,175.0,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,27,57,87,334,7,0,0,4.0,4.0,4.71,4.14,4.29,4.29,4.0,1,1,0,0,0.06
51,215226.0,20230300000000.0,235146583,71,15.0,22.0,41.7915,3.05638,6,3.0,3.0,5.0,180.0,7,1125,5.0,7.0,30.0,1125.0,7.0,1114.9,18,37,37,219,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,14,14,0,0,0.02
54,820615.0,20230300000000.0,4208003,92,35.0,72.0,42.10907,3.14432,8,2.0,4.0,6.0,193.0,1,365,1.0,7.0,365.0,365.0,5.5,365.0,26,56,79,141,11,4,0,4.55,4.73,4.55,4.55,4.64,4.45,4.27,34,34,0,0,0.1
58,1264094.0,20230300000000.0,6882034,52,6.0,9.0,41.957,3.03632,12,3.0,8.0,8.0,42.0,1,1125,1.0,3.0,1125.0,1125.0,1.3,1125.0,26,54,83,353,120,7,0,4.43,4.63,4.73,4.64,4.64,4.21,4.45,6,1,5,0,1.01
59,262941.0,20230300000000.0,1379849,100,1.0,3.0,41.91841,3.21439,12,4.0,6.0,9.0,500.0,7,500,7.0,7.0,1125.0,1125.0,7.0,1125.0,28,58,82,212,42,1,0,4.8,4.77,4.67,4.95,4.88,4.78,4.4,1,1,0,0,0.35
60,1266293.0,20230300000000.0,1406248,0,1.0,2.0,41.86285,2.66008,5,2.0,3.0,5.0,150.0,14,60,14.0,14.0,60.0,60.0,14.0,60.0,30,60,90,351,11,0,0,4.73,4.91,4.55,4.82,5.0,4.91,4.82,1,1,0,0,0.09
61,845209.0,20230300000000.0,4412627,97,2.0,2.0,42.1146,2.7567,8,2.0,4.0,8.0,150.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,12,41,41,231,35,9,0,4.67,4.76,4.48,4.88,4.88,4.91,4.42,2,2,0,0,0.28
62,265647.0,20230300000000.0,1393119,95,8.0,8.0,42.37355,2.92054,6,2.0,3.0,5.0,210.0,7,14,2.0,7.0,30.0,30.0,4.7,30.0,16,36,45,263,49,6,1,4.84,4.65,4.88,4.78,4.65,4.63,4.65,8,5,0,0,0.42
63,854021.0,20230300000000.0,4282861,84,1.0,1.0,42.02913,3.07318,7,2.0,3.0,5.0,110.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,16,41,63,275,157,22,1,4.85,4.89,4.96,4.98,4.97,4.81,4.81,1,1,0,0,1.33
64,856837.0,20230300000000.0,4480521,100,2.0,3.0,42.15281,2.24407,10,3.0,5.0,6.0,450.0,2,30,2.0,3.0,30.0,1125.0,2.0,1105.0,1,2,12,136,42,2,0,4.88,4.93,4.95,4.88,4.98,4.88,4.85,2,2,0,0,0.37
65,858015.0,20230300000000.0,1373228,100,9.0,9.0,42.33747,2.45288,9,2.0,3.0,7.0,256.0,2,28,2.0,5.0,28.0,28.0,3.0,28.0,25,55,85,357,28,3,0,4.54,4.54,4.54,4.68,4.57,4.75,4.32,9,9,0,0,0.29
66,1269893.0,20230300000000.0,6895785,100,1.0,1.0,42.18014,2.51623,8,3.0,3.0,5.0,220.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,14,39,50,298,96,19,2,4.98,4.93,5.0,4.98,4.94,4.94,4.92,1,1,0,0,0.82
