,id,scrape_id,host_id,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2,696037,20230329041210,3531879,90,4,4,19.4418,-99.18402,6,2.0,3.0,3.0,1469.0,24,1125,24.0,24.0,1125.0,1125.0,24.0,1125.0,0,0,0,87,39,2,0,4.57,4.82,4.71,4.92,4.92,4.58,4.71,3,3,0,0,0.31
4,44616,20230329041210,196253,86,16,16,19.41162,-99.17794,14,5.0,5.0,8.0,18000.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,30,59,89,357,64,12,1,4.58,4.56,4.7,4.87,4.78,4.98,4.48,12,3,2,0,0.46
5,2075738,20230329041210,2339771,70,1,2,19.41909,-99.16043,2,2.0,1.0,1.0,2561.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,2,13,19,240,78,16,1,4.87,4.9,4.71,4.91,4.85,5.0,4.83,1,1,0,0,0.7
9,728372,20230329041210,3777702,58,6,7,19.44222,-99.14461,16,5.0,10.0,16.0,2561.0,1,90,1.0,1.0,90.0,90.0,1.0,90.0,9,15,37,270,120,6,0,4.73,4.74,4.69,4.88,4.88,4.34,4.75,6,3,3,0,0.95
26,2118573,20230329041210,10802698,95,3,3,19.38777,-99.17532,6,3.0,3.0,4.0,2049.0,2,180,2.0,2.0,1125.0,1125.0,2.0,1125.0,29,59,88,88,215,31,1,4.91,4.94,4.92,4.96,4.96,4.87,4.95,3,3,0,0,1.93
27,165772,20230329041210,790208,100,6,7,19.40826,-99.18659,16,5.0,5.0,10.0,3449.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,3,8,21,194,297,20,2,4.88,4.91,4.86,4.93,4.92,4.71,4.91,6,4,2,0,2.09
30,783480,20230329041210,4129056,100,2,2,19.35379,-99.28459,4,2.0,2.0,4.0,500.0,2,365,2.0,2.0,365.0,365.0,2.0,365.0,0,23,53,328,27,0,0,4.96,4.93,4.93,4.93,4.93,4.7,4.85,2,0,2,0,0.25
38,187745,20230329041210,899360,100,6,8,19.41057,-99.1773,3,2.0,1.0,2.0,5000.0,14,365,14.0,14.0,365.0,365.0,14.0,365.0,0,0,0,0,24,0,0,4.67,4.58,4.58,4.83,4.79,5.0,4.63,6,6,0,0,0.21
44,2182375,20230329041210,1979548,100,2,5,19.38212,-99.15361,4,2.0,2.0,2.0,2800.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,28,58,88,363,40,0,0,4.9,4.98,4.9,5.0,5.0,4.88,4.98,2,1,1,0,0.42
48,2228415,20230329041210,2518152,94,8,8,19.34948,-99.19381,6,2.0,3.0,3.0,4714.0,15,120,15.0,15.0,120.0,120.0,15.0,120.0,27,57,87,362,4,0,0,4.75,4.75,4.25,5.0,4.75,4.5,4.25,7,1,4,0,0.05
